"","epsilon","mean","sd","skew","kurtosis","time","mean_autocor"
"1",1,0.0261607290977338,0.0115067291626528,0.105898056775905,0.041395475735154,0.270276784896851,0.0966247446789815
"2",1,0.067319822287834,0.0370041605324556,0.0831255778631059,0.0068464747523711,0.214450120925903,0.122813253700176
"3",1,0.0114769487726131,0.0319701995227974,0.0921908129630703,0.0540957560940307,0.197448968887329,0.119137646823819
"4",1,0.00842976280442039,0.0174887366568623,0.0816975189357649,0.0795440298838992,0.204482078552246,0.0884643677969205
"5",1,0.0112511630828408,0.0136834727625723,0.0151049679256505,0.000514603793134949,0.206445932388306,0.107276347201943
"6",1,0.01738734887116,0.0227169481109524,0.0665813194448625,0.143449175336339,0.23639702796936,0.11412867052856
"7",1,0.00289541851416793,0.00854913490509523,0.0553661732218605,0.134528301202184,0.293214082717896,0.114286599049259
"8",1,0.0049388492964627,0.00517579310606608,0.0329036940176921,0.130234672994492,0.189487934112549,0.119905156750087
"9",1,0.0224500556362706,0.0238820930168999,0.0580104266210591,0.0207908356440978,0.189467191696167,0.114671824262599
"10",1,0.00410657847087386,0.0047795843737537,0.00089012982146462,0.0318033336494521,0.191464185714722,0.0982849777565873
"11",1,0.00951782434574329,0.0178104317206127,0.012278661795145,0.197704688203722,0.196497917175293,0.10634987380842
"12",1,0.0099394082395004,0.0139643859730219,0.0496955294734671,0.117365599285083,0.18647289276123,0.117008239091707
"13",1,0.073347371557671,0.0168876551647907,0.061724827109893,0.0510183905917301,0.188496112823486,0.130295600306053
"14",1,0.0167894995592569,0.0140039933570949,0.0293134200635078,0.0384834867266348,0.191519021987915,0.123502302113942
"15",1,0.00691377840968433,0.0265134485901017,0.073517220802816,0.0238064704370351,0.18949294090271,0.13143457681273
"16",1,0.00458226838235801,0.0126546938082231,0.0338016901622905,0.0990327110156173,0.186470985412598,0.107975692918283
"17",1,0.0247415226690042,0.0322485006179907,0.113748230497849,0.137853128489318,0.191488981246948,0.116811310333886
"18",1,0.0376678607796137,0.00841616632522735,0.100847870336562,0.0552591753091449,0.191517114639282,0.1026687472122
"19",1,0.0614130008285528,0.019669988589917,0.025949978071356,0.00749989726091638,0.264295101165771,0.104992850911618
"20",1,0.041540334792917,0.000583054885819667,0.012466482210098,0.0330610442396209,0.188498020172119,0.104084581203904
"21",2,0.00969884761791008,0.00435368956810067,0.0622735259792174,0.021552655444077,0.627323150634766,0.0659281136209811
"22",2,0.00404622305455143,0.00471148332134241,0.0210372117328013,0.10174292687357,0.659209012985229,0.0708075674570299
"23",2,0.0219554707294347,0.00108368626010813,0.0475586106017494,0.00166192290369471,0.694175958633423,0.0708371192920162
"24",2,0.0562102339360493,0.00644355532659979,0.0653113374132036,0.0405504005995976,0.608371019363403,0.0711844428344378
"25",2,0.00370631028816459,0.0188345834234674,0.0389312965955131,0.105518633099044,0.596433877944946,0.0516525571011924
"26",2,0.0267712493226453,0.00868252333709152,0.0209082090405938,0.0639866883047788,0.680154085159302,0.068132922509359
"27",2,0.0170726272455347,0.0164233902873325,0.0523286064574983,0.100553810234588,0.608402013778687,0.0562120509862071
"28",2,0.0306754252137139,0.00501101098406509,0.00417350845023183,0.00128514817994141,0.610369920730591,0.0527296586112463
"29",2,0.0126316354785613,0.0384867233578526,0.0333428881908238,0.0109208214269256,0.682170152664185,0.0660143329266907
"30",2,0.0255367032435616,0.0113413414272913,0.0149794258676705,0.0920767552652864,0.593414068222046,0.0618210433490786
"31",2,0.0310655581547592,0.00763408987653191,0.000488517596944972,0.263293376200698,0.611366033554077,0.0734813134553279
"32",2,0.0185138532499233,0.00249229554416264,0.00121471368315513,0.0649764576570919,0.691153049468994,0.0626660860459409
"33",2,0.0149142679711172,0.0216832183571122,0.0798131058261455,0.00799792501766783,0.602414131164551,0.0576977990132704
"34",2,0.00710443166469669,0.0050768084066708,0.0308955810648709,0.0265859526642873,0.601396083831787,0.0538058759304622
"35",2,0.031084377516135,0.0140441691634869,0.034526685557781,0.0514061253701708,0.680176973342896,0.0574537337410305
"36",2,0.00582313008578784,0.00258913648448544,0.0819161510444455,0.0946967648200041,0.61834716796875,0.0584606121492416
"37",2,0.00285196515006834,0.0311029465076085,0.00674257055306224,0.139812763177097,0.606539011001587,0.0561902860424914
"38",2,0.0553936753716055,0.0149572710140853,0.0265894249130636,0.0269843322391448,0.686194896697998,0.0700621111755966
"39",2,0.00143704534596299,0.0132971833101951,0.0320908871314265,0.0507823598528834,0.649260997772217,0.0592061039015557
"40",2,0.00156136739700231,0.0131932225626599,0.0291672622689952,0.0137209438535333,0.6163489818573,0.0579213711836414
"41",3,0.0358939397386617,0.000414269715303894,0.0314119524371666,0.0625503866457975,1.32446098327637,0.052034849830541
"42",3,0.019366476876491,0.011491210408779,0.0350894251236166,0.0120569495131551,1.3116569519043,0.045883403850837
"43",3,0.0119421731704156,0.0104664365331764,0.00970997470118207,0.0583600464882288,1.32742190361023,0.0377092277865266
"44",3,0.00698589129073398,0.0267909625117537,0.0508345966911706,0.148818839179259,1.25065803527832,0.046392532854527
"45",3,0.000404520427912448,0.0238194491016432,0.0323744753652195,0.0483490981478383,1.32046985626221,0.0491106969281704
"46",3,0.0251947255800062,0.00597938498561157,0.00327762693484743,0.0657781297870064,1.31411600112915,0.0537392153811036
"47",3,0.0210216499269087,0.00433388626344344,0.038817579556381,0.0724011942895015,1.35639810562134,0.0491825288469804
"48",3,0.00639463529172217,0.0046978537090332,0.0327771003653392,0.0485007657109882,1.23370409011841,0.0521606942171635
"49",3,0.00516416040997417,0.0134780067016498,0.0124981142916088,0.0189931163133141,1.31249499320984,0.0464856463423708
"50",3,0.0162903906006341,0.0168500878455902,0.0670734445940556,0.0157489567238183,1.33060002326965,0.0427342673235928
"51",3,0.00500523549789856,0.020960184027106,0.0544337358863247,0.0202383947698452,1.3513879776001,0.0440526434299307
"52",3,0.0036334273297497,0.00102138570056365,0.0304168218933051,0.0702809522633285,1.27260303497314,0.0432071317538454
"53",3,0.0290321161468895,0.00349242941841577,0.0364186812036097,0.0246479022786348,1.34352898597717,0.0427421813801215
"54",3,0.0321424407707511,0.0102105557975519,0.0438133560720119,0.0540821042576303,1.32657504081726,0.0415029946014416
"55",3,0.0101811214629629,0.00864173487534048,0.00212763951971455,0.0671528649844144,1.35751700401306,0.0545898170132452
"56",3,0.0291134738664371,0.00827812859621502,0.00252120063741433,0.106424295356397,1.23570418357849,0.0399437879889689
"57",3,0.00552685631132731,9.79116735928542e-05,0.0743851339824079,0.0242637539110682,1.31445717811584,0.0596043168522073
"58",3,0.00674025625847747,0.0102960568857222,0.0298529700717115,0.119537572572527,1.31366491317749,0.0447488452833021
"59",3,0.0100368138759772,0.00657534395141446,0.0200840848623772,0.00644117847738235,1.30949902534485,0.0509618365207746
"60",3,0.000277984429224017,0.00792414546463749,0.0531430417887031,0.0473759137483309,1.23270702362061,0.0553904176177666
"61",4,0.0200148653621818,0.00200251730692658,0.0116129582461441,0.0177319598255807,2.24113082885742,0.0397134355677727
"62",4,0.017787657019815,0.000185314658376456,0.013742761207191,0.00641311288707014,2.17316508293152,0.0368672902927936
"63",4,0.0168596870408526,0.00675393101853827,0.0579203637679894,0.125645961114126,2.2549991607666,0.0397908313214141
"64",4,0.00675155944421756,0.00478923241975382,0.0357117626110619,0.0432859722302146,2.53623104095459,0.0411819772823258
"65",4,0.0107827878098447,0.00576840329689365,0.0818111330827966,0.0059023971376253,2.19114899635315,0.043647634793241
"66",4,0.013002175229695,0.0192007065885795,0.0120359138298883,0.0218133974318797,2.45768880844116,0.039135937809179
"67",4,0.00780717225651064,0.00384852361163235,0.0180640195464429,0.0213941981325569,2.24499201774597,0.0400930167763708
"68",4,0.00340190241901695,0.0042724914741461,0.0401052950482267,0.0246775562750838,2.23807907104492,0.0385100807202241
"69",4,0.00796494846492999,0.00172296430627417,0.0117926898458926,0.0341384564176699,2.43859696388245,0.0429749140069208
"70",4,0.018344180485905,0.00311192607447353,0.002972415507189,0.00993586483594466,2.21668481826782,0.0335799812710205
"71",4,0.0089038721220831,0.00792034845873957,0.0611749898662296,0.0627208805833295,2.25105881690979,0.0385185322360696
"72",4,0.0300128507909475,0.019215415984934,0.0399950465038835,0.0446624111111187,2.2766649723053,0.0344049090634653
"73",4,0.0300530905724305,0.00830536631933287,0.0390724826302862,0.0511700707121632,2.42953610420227,0.0349252904037903
"74",4,0.013702968708059,0.000185149950552077,0.00697891928682928,0.0215766832263564,2.49990606307983,0.035585077302035
"75",4,0.00549027730316761,0.00150506881757395,0.057298584241549,0.0100025895064122,2.25599598884583,0.0442619106790726
"76",4,0.00911490423652346,0.00458182101754023,0.00260327465623277,0.126656030758027,2.17135095596313,0.0462841701652678
"77",4,0.00981111905458723,0.0056805176912702,0.0655256736899273,0.00579369746558989,2.16555380821228,0.0398423960782497
"78",4,0.0282806909468674,0.0109324950055136,0.0346684351285615,0.00653310805817897,2.2425479888916,0.0406513149095354
"79",4,0.0163003245321082,0.00043657378753359,0.000941205969151423,0.0291584567565599,2.19529414176941,0.0386008801954702
"80",4,0.0166178564515079,0.000158195275411721,0.00523006879732129,0.0788857054042591,2.32690811157227,0.0361561676509812
"81",5,0.0213421787762911,0.0121274642586549,0.021361542448969,0.118962561772891,3.41706204414368,0.0366305561691627
"82",5,0.00457011612278605,0.0109701915965819,0.0182117298346728,0.079754562009176,3.66727805137634,0.0340867251270578
"83",5,0.0129739003766369,0.00142896734352083,0.0585999121573165,0.0672397441991004,3.52322196960449,0.0359055699198049
"84",5,0.0127203822428146,0.0160615955059673,0.00628276067533215,0.0591169948811534,3.63656806945801,0.0325003957381296
"85",5,0.000754984767281094,0.00608360478991066,0.00175891424060796,0.0045801751381509,3.41906499862671,0.0366930325181188
"86",5,0.00380220628046224,0.00110963870338587,0.0293445308014255,0.0060065775216338,3.4328019618988,0.0400352884745319
"87",5,0.00812470376082477,0.00480829948957973,0.0347552923459959,0.0715267806078042,3.614342212677,0.0345024100913355
"88",5,0.00740433449142431,0.000230811014163557,0.066577365939611,0.0630626105422127,3.49079394340515,0.0287039128415044
"89",5,0.00426315010070509,0.003588342776494,0.0362290343992616,0.0489633465421302,3.32413792610168,0.034146413345018
"90",5,0.0157794423860688,0.000319941097838727,0.035823613280292,0.0126351752427523,3.45433902740479,0.0315893352064176
"91",5,0.00637665774369332,0.00919642321798586,0.00540485478582404,0.0735879021634647,3.59555101394653,0.0386451641912997
"92",5,0.010448063947444,0.00382497967340789,0.0272188185011866,0.0211368495896314,3.54657483100891,0.032002699475148
"93",5,0.0264134848435622,0.0213201828029745,0.0188282616494857,0.065278489022877,3.42886590957642,0.0324821864905526
"94",5,0.00254222688883842,0.0189355999822391,0.0506018251805133,0.00955352270213217,3.4248731136322,0.0339902764391322
"95",5,0.00173504366938813,0.0209060849555083,0.0468733466450292,0.0863357405304832,3.46402406692505,0.0333529888082238
"96",5,0.00369448444346745,0.00141947639942486,0.00866663653064729,0.0962547569423329,3.53371500968933,0.0321734670264312
"97",5,0.0347908967734289,0.00372993371403196,0.00254631411994134,0.0910684592141586,3.45978093147278,0.0299943884151986
"98",5,0.0156466913707496,0.0116809122892345,0.0585227023578434,0.0459958814836736,3.45728898048401,0.0338061116886572
"99",5,0.00944643146451164,0.00147472575673069,0.0225664660478843,0.038316373343156,3.39923906326294,0.0312246667431896
"100",5,0.012934049747493,0.0017827410048139,0.0283052007333776,0.0274164765651022,3.35644006729126,0.034813031866237
"101",6,0.0138048913062803,0.000316842103977644,0.0284174095621997,0.0341346164467224,4.91088104248047,0.0329513339982758
"102",6,0.00689630121080699,0.00250945157985161,0.0278041163157874,0.0547512655503035,4.78667497634888,0.0340909536188234
"103",6,0.00576962068569547,0.00390312347992661,0.00934813934869348,0.0641595060242031,5.01250815391541,0.0341432517075356
"104",6,0.011041618383542,0.000505111912105893,0.0185231382226643,0.107564480264154,5.0524628162384,0.0344162047092184
"105",6,0.00450230257070556,0.00469525320839237,0.0204364099963615,0.0327383086944977,4.92959403991699,0.0316378188740678
"106",6,0.0139512576460551,0.00742567324419907,0.04177816817697,0.0288523817327357,5.03917622566223,0.0320061651719106
"107",6,0.0098940110897918,0.0139232985140416,0.0120730059893699,0.0293867986849632,4.94179201126099,0.0338331438946652
"108",6,0.0133359325585486,0.0068076193513853,0.0141794119732286,0.00187108863179342,4.81890296936035,0.0320409605153126
"109",6,0.0157890106302178,0.0101027741530371,0.0589473249359938,0.0352235789216717,4.70769000053406,0.0286881135052886
"110",6,0.0106369364698835,0.00697354485929702,0.0341198240278256,0.00072353569325756,4.72081208229065,0.0294115971911141
"111",6,0.0190702240321574,0.00425859412377305,0.00326346228379081,0.00196395726812781,4.71769189834595,0.0296799896004319
"112",6,0.0138757489182128,0.00260288658935859,0.0300874237417449,0.0271977602294338,4.70955204963684,0.0338629524046093
"113",6,0.00455087467428389,0.0050670173276548,0.00450586576645777,0.0303005490717529,4.75129508972168,0.0289254465000789
"114",6,0.00246521908866214,0.00730702542722028,0.0172734188185893,0.0137932678339867,4.78762602806091,0.0338192848735628
"115",6,0.00373673360527786,0.000844679141838389,0.0669907696622898,0.043165782349404,4.87840008735657,0.032665844552728
"116",6,0.00752921760967859,0.00228107531752664,0.00464682297296487,0.0697561659581556,4.9517879486084,0.0257969444516927
"117",6,0.0120409313765692,0.0029661325318151,0.0172315790577658,0.0143757152293706,4.88479399681091,0.0316377218742002
"118",6,0.0142323581683189,0.00959219407083234,0.0358509563248599,0.00578832385532868,5.08532786369324,0.0291063492882473
"119",6,0.00169752377724458,0.00601161047343024,0.0120630754718957,0.0243829895587169,4.82802891731262,0.0344722356278896
"120",6,0.0158431915196648,0.00450270531551689,0.0129208443413412,0.0716198678052686,5.00879502296448,0.0269803391817937
"121",7,0.00162921078437706,0.00377561603784493,0.00292048245990814,0.0198132009758818,6.99936318397522,0.0334633633312004
"122",7,0.000476949653816094,0.00438861467386586,0.0165245885786221,0.0153395141596038,6.58138513565063,0.0287157740509393
"123",7,0.00650055788746835,0.00906166232453054,0.0349631431220961,0.0103418905099271,6.52160000801086,0.0279178454535642
"124",7,0.0132338031239148,0.00128039594774432,0.00586071201997986,0.0666655181392364,6.37293696403503,0.0348298277254597
"125",7,0.00805848908422631,0.0113536766402649,0.0224537620505837,0.00790095292853321,6.4587390422821,0.0252238051813123
"126",7,0.0106796687560475,0.0151891583414964,0.0415840387968396,0.0343245481042307,6.54747200012207,0.0267478217339681
"127",7,0.00780753917128103,0.00513566673996335,0.0278944200835995,0.00251270257180725,6.46970796585083,0.0322116364037428
"128",7,0.0117194534559341,0.0116362580712023,0.00755736801941081,0.0605754085455037,6.43782091140747,0.031515410096739
"129",7,0.00467663003673599,0.00949264923868076,0.00290210528690159,0.0796662779058437,6.54520893096924,0.0298621934667968
"130",7,0.00362238289380589,0.0094654904810122,0.018709811976171,0.0611528864474375,6.63394784927368,0.0310900179278829
"131",7,0.00323330389124577,0.00196575092496909,0.012301313425475,0.0449667792490001,6.47471904754639,0.0297691271034756
"132",7,0.000151312905526473,0.00154305985720826,0.0091895668138008,0.0395446225137825,6.5130660533905,0.0301205105661541
"133",7,0.0126447624262469,0.0107326038119263,0.00136098729006527,0.0224357375479403,6.68581795692444,0.0300967861038691
"134",7,0.0110493291088019,0.0046376050300595,0.0277712764031797,0.0216618730553515,6.66075897216797,0.0307438643705191
"135",7,0.00306276341776615,0.00451739384345506,0.0161449294566583,0.0455201002720296,6.79018712043762,0.0287822988734752
"136",7,0.0018021512446017,0.0076827572611442,0.0109281347850919,0.0461017269867305,6.5252411365509,0.0318397423584356
"137",7,0.00226280943106206,0.00246200093133053,0.045787862146668,0.0158601747337719,6.7731831073761,0.0313235136011285
"138",7,0.00463945965493725,0.0134449850810607,0.0348213203578524,0.0409448980718179,6.58790111541748,0.0256055443136627
"139",7,0.00417506564267159,0.00350535876770219,0.0138715025762138,0.00118708318380145,6.57357692718506,0.032865263734313
"140",7,0.000713747801463441,0.000776908529048548,0.0157071577507868,0.0405107544237104,6.58870697021484,0.0276396569161156
"141",8,0.00227998052002318,0.00312231431681842,0.00451822023781552,0.0194851506703482,8.52913594245911,0.0295108770602959
"142",8,0.00220108687711515,0.00135548697698074,0.00732943360601116,0.0909327455443161,8.42111897468567,0.0285194972412625
"143",8,0.00499997433366286,0.0123698888742043,0.0239021777709712,0.0152749710748585,8.58767890930176,0.028956299266542
"144",8,0.00329861858408543,0.00300190652825005,0.0428182310661035,0.0639647143411626,8.51045107841492,0.0288642992074454
"145",8,0.00312812198387751,0.00498887586545926,0.00449252935942639,0.0418046046898843,8.98357582092285,0.0320975055457951
"146",8,0.0277229459641238,0.00268141198653526,0.0101740293809224,0.0602187143850998,8.66883206367493,0.0277492408265936
"147",8,0.016449837081826,0.0118531700303957,0.0575409046645638,0.0259402918090812,8.81008100509644,0.0263928423745952
"148",8,0.0190025712105829,0.00911460619275317,0.0162259051435124,0.0310165456785017,8.71477913856506,0.028593858265137
"149",8,0.0111640909225902,0.00276955488089903,0.0143646121838717,0.0170084590790021,9.0015561580658,0.0299276512302921
"150",8,0.000300702613494897,0.00723818266287402,0.0178195657599097,0.0109953821825441,8.6998610496521,0.027598572691407
"151",8,0.00819550247193849,0.0120495066379213,0.0768578388075292,0.00471393509669094,8.52422499656677,0.0300882742105086
"152",8,0.0132812485793987,0.0146191783287051,0.0155881425012689,0.0718793580222972,8.86368703842163,0.0257732739079431
"153",8,0.00882705802889782,0.000182447126286345,0.0248216573811801,0.0382312192060188,8.58965086936951,0.0278975915630397
"154",8,0.00246281254721969,0.00902078165464637,0.0329118947937834,0.0830186219519531,8.43890595436096,0.0271931710025782
"155",8,0.00024067455135622,0.00860592501897806,0.00356522761118657,0.00406641745035907,8.54495096206665,0.0281678640093138
"156",8,0.02069890636644,0.0137767290487324,0.00323453758780974,0.0208386457255689,8.70808887481689,0.0289540428353539
"157",8,0.00592363574949905,0.00116334031700949,0.0493028462567433,0.0620877149577437,8.44542813301086,0.0295382161317375
"158",8,0.0149088972868377,0.0026486252917437,0.028134389790745,0.0277726893294936,8.29483103752136,0.0263608820571291
"159",8,0.000441012489144157,0.000661113307089289,0.0237890422331877,0.0926515008696889,8.41751790046692,0.0272643742436208
"160",8,0.0101288957368045,0.0136673465286798,0.013937246043977,0.0661524084786977,8.4096348285675,0.0311333148901046
"161",9,0.00583178174295577,0.00141521486651053,0.000656997608346451,0.0331481705381065,10.7112939357758,0.0268861573669982
"162",9,0.0166183426035631,0.00758320254414846,0.00742018108459594,0.0351000494360183,10.6185300350189,0.0270202137300166
"163",9,0.0106274009111207,0.00277293926808597,0.0201721017499287,0.0770141011038135,10.7963390350342,0.0278807540490514
"164",9,0.0185969922712709,0.00518626919895193,0.00311351688896402,0.00578360635165076,11.4257280826569,0.0288706024576921
"165",9,0.0177387785049355,0.0137824214280626,0.00924905223824865,0.049718410074878,11.3782341480255,0.026345081324984
"166",9,0.00680116607709273,0.0120378607239451,0.0161305258755505,0.0283190070652264,11.1999931335449,0.0267763135825219
"167",9,0.00414974667276391,0.000741644093138483,0.0118577188451412,0.0418014528145298,11.0733020305634,0.0290517870470611
"168",9,0.0109343178518404,0.00778371234217401,0.054453590271169,0.0508485056639354,10.6731660366058,0.0279401453649038
"169",9,0.00378857294411619,0.000397260203047756,0.0123523871664034,0.0130166909105123,10.4365091323853,0.0311299866545353
"170",9,0.00648696958084082,0.00621582649100338,0.000466224602862803,0.09180253680716,10.5779790878296,0.0286594922034795
"171",9,0.000691088102288188,0.012326079436204,0.0324387561021427,0.0260236491365524,11.317703962326,0.027030043378832
"172",9,0.011868894106099,0.0209188351914632,0.0221569246917255,0.000260336931545702,12.4180209636688,0.0271004520165685
"173",9,0.00463188678810512,0.000351478036118791,0.0193220300526665,0.00155502186885714,10.7313470840454,0.0271736664288515
"174",9,0.0178346353409979,0.00239541736599591,0.0468930832467933,0.0782619474613955,10.5178830623627,0.0301866751120604
"175",9,0.00145716105002897,0.0152470822462378,0.00236581057832571,0.0606279341260256,10.7233099937439,0.0295496587084224
"176",9,0.0184195902135849,0.0061932615832373,0.00868817625022077,0.0327665652563294,10.9208168983459,0.0241478257375595
"177",9,0.00339820973819987,0.00242402715305845,0.0754250423984844,0.00430250971187718,10.8101079463959,0.0297144054229817
"178",9,0.00252558132846719,0.0200000174328379,0.00936519924143986,0.0817741719741112,10.8699188232422,0.0295280173154569
"179",9,0.00601805236702077,0.0233403297272594,0.00636597123908732,0.0233572979713412,10.833065032959,0.0251952848221073
"180",9,0.00118638571452389,0.00764302691751206,0.0293077100890456,0.0417010487502565,11.0876040458679,0.029321336056783
"181",10,0.00636800738610425,0.00206572457122567,0.0226759632653118,0.0582046746276776,13.6854219436646,0.0240087218843263
"182",10,0.00461196888338291,0.00731084529063497,0.0126793979175066,0.00353693258363696,13.4186248779297,0.023579622890972
"183",10,0.0083109807753172,0.00311063157180613,0.013824349524724,0.0575553219332856,13.1043870449066,0.0282086631588388
"184",10,0.0158634884210803,0.00855761142516309,0.0203831906654579,0.0472350644458408,13.3000020980835,0.0280724362269086
"185",10,0.0125952316640202,0.00515566003976886,0.00870845407232586,0.0145518768409043,13.6608591079712,0.0250403917254927
"186",10,0.00815479841752071,0.0024015870311237,0.0214187496579551,0.000810700586338697,13.5998241901398,0.025983530653703
"187",10,0.0187604179049869,0.0120741857080217,0.0134450553623714,0.00487074046207736,13.1089079380035,0.0267246768821835
"188",10,0.000360692071391574,0.00068235386152582,0.0066332943319695,0.00249850527173967,13.2763178348541,0.0274128491182822
"189",10,0.00265872286511917,0.00220487720801377,0.045244112421924,0.0416984594543055,13.7933359146118,0.0274342547097055
"190",10,0.000730519980209409,0.00137496014818306,0.0176428514226066,0.00400646338563959,13.2577271461487,0.0309082435551336
"191",10,0.0011193575854194,0.00239675973105835,0.00783489716798843,0.018550829959127,13.5790579319,0.0281173267087296
"192",10,0.0199145099918885,0.00548431874452548,0.0167382839379366,0.0501811846475699,13.9750230312347,0.0292914757485212
"193",10,0.0135147184677673,0.00273227059284009,0.0187917427998079,0.0100736224229991,13.7887461185455,0.0262189296521897
"194",10,0.0242990222565322,0.00279467407589595,0.0373928228214976,0.0366209839802583,13.6195230484009,0.0232689985770524
"195",10,0.0123322121997279,0.00276579406583433,0.0124559550918513,0.0256855658895052,13.4539179801941,0.0264891227939165
"196",10,0.00517265274197679,0.00814805053222412,0.0211256808328307,0.0217599608160128,13.4034340381622,0.0246383749954667
"197",10,0.00635218017219062,1.72368506388132e-05,0.0294996384830247,0.10586746178357,13.4631259441376,0.0256899752925896
"198",10,0.00653751531294262,0.00132754481986042,0.0107390831277678,0.109594082259202,13.3913340568542,0.0292545616491368
"199",10,0.00752131709407072,0.00390040067693476,0.0384606299223142,0.0144108266799177,13.5309290885925,0.0259740417365092
"200",10,0.000844626714781793,0.00937089172966643,0.00046874054740284,0.0370136968648254,13.75523686409,0.0244833879741684
